field,kind,rows,non_null,null_pct,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,mean,std,neg_pct,zero_pct,pos_pct,suggested_public_exposure,glossary_group,glossary_description
rsi,bounded_0_100_indicator,7970,7454,6.47,11.3096,21.1489,28.5139,32.4052,39.6192,48.3735,58.3532,68.5222,72.9125,83.1945,98.911,49.4056,13.6986,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_attention_adjusted_score,bounded_0_100_indicator,7970,7970,0.0,19.6276,29.687,39.3368,40.1408,45.4217,50.0,59.6832,59.9948,64.9257,71.07,84.6668,50.6683,8.8336,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_attention_adjusted_score_ema_3,bounded_0_100_indicator,7970,7970,0.0,23.9862,33.7191,39.2921,40.677,45.7366,50.0351,55.8633,59.8317,62.2027,68.4028,78.4558,50.6713,7.39,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_attention_adjusted_score_ema_7,bounded_0_100_indicator,7970,7970,0.0,27.6632,36.8161,40.6849,42.6848,46.7092,50.318,54.8564,58.5649,60.4223,65.0876,72.5565,50.6727,6.1169,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_attention_adjusted_score_streak_down,bounded_0_100_indicator,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,0.7964,1.1103,0.0,53.89,46.11,public_label_ok_raw_score_member_only,,
rsi_attention_adjusted_score_streak_up,bounded_0_100_indicator,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,11.0,0.8326,1.1744,0.0,53.04,46.96,public_label_ok_raw_score_member_only,,
rsi_attention_multiplier,bounded_0_100_indicator,7970,7970,0.0,1.0086,1.0274,1.0352,1.0391,1.0449,1.0525,1.0627,1.075,1.0844,1.111,1.1518,1.0553,0.016,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_combined_strength_score,bounded_0_100_indicator,7970,7970,0.0,1.0,16.6667,33.3333,33.3333,41.6667,50.0,66.6667,66.6667,75.0,83.3333,100.0,51.1308,14.4291,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_combined_strength_score_ema_3,bounded_0_100_indicator,7970,7970,0.0,11.1559,24.8846,32.5519,34.3755,42.7455,50.0,59.4797,66.5222,69.8931,78.995,91.984,51.1418,12.0291,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_combined_strength_score_ema_7,bounded_0_100_indicator,7970,7970,0.0,19.5612,28.9423,34.5035,37.8854,44.6605,50.1991,57.9633,64.1709,66.8913,74.2051,87.6429,51.136,9.9481,0.0,0.0,100.0,public_label_ok_raw_score_member_only,,
rsi_combined_strength_score_raw,bounded_0_100_indicator,7970,7970,0.0,0.0,16.6667,33.3333,33.3333,41.6667,50.0,66.6667,66.6667,75.0,83.3333,100.0,51.1303,14.4309,0.0,0.05,99.95,internal_only,,
rsi_combined_strength_score_streak_down,bounded_0_100_indicator,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.2581,0.5349,0.0,78.28,21.72,public_label_ok_raw_score_member_only,,
rsi_combined_strength_score_streak_up,bounded_0_100_indicator,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.2551,0.5257,0.0,78.31,21.69,public_label_ok_raw_score_member_only,,
rsi_strength_score,bounded_0_100_indicator,7970,7970,0.0,0.0,16.6667,33.3333,33.3333,33.3333,50.0,66.6667,66.6667,66.6667,100.0,100.0,51.5077,17.9725,0.0,0.97,99.03,public_label_ok_raw_score_member_only,,
