date,sector,n_rows,n_terms,close,combined_compound,rsi,sentiment_rsi,macd,macd_signal,macd_histogram,combined_normalized_score_7,combined_normalized_score_21,combined_normalized_score_50,combined_normalized_score_100,combined_normalized_score_200,high_volume_7,high_volume_20,sector_rsi,sector_macd,sector_macd_signal,sector_macd_hist,sector_macd_divergence,rsi_z,macd_z,sentiment_z,macd_acceleration,divergence_bonus,ma_alignment,sector_strength_base,sector_strength_v2,level,term,mcap_status,mcap_scope,mcap_covered_terms,mcap_total_terms,mcap_coverage_pct,mcap_missing_terms
2026-03-24,AI,9,9,266.7079024957852,0.19443538738910027,,,0.0,0.0,0.0,39.08085922886785,41.14870393270281,47.243122174518604,51.519171954731334,43.15378955508026,0,0,,0.0,0.0,0.0,None,,,,0.0,0.0,44.429129369180174,,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-25,AI,9,9,268.7425358102932,0.21153481322781884,,,0.1623069310718652,0.032461386214373035,0.12984554485749214,40.23737798560476,41.507208769400755,46.87057856602538,50.7643289942155,43.79327889343015,4,4,100.0,0.0013640567620630262,0.00027281135241260526,0.001091245409650421,Bullish,,,,0.0013640567620630262,1.0,44.634554641735306,31.300459514230365,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-26,AI,9,9,260.0555020438359,0.12952353663961572,,,-0.4053619211797845,-0.055103275264458455,-0.35025864591532596,31.62318097086883,35.98356751398289,42.27435477935841,46.63304680647539,41.24148953788204,6,6,17.252855060054358,-0.00412499270218375,-0.0006067494585066658,-0.0035182432436770836,Bearish,,,,-0.005489049464246776,-1.0,39.551127921713515,9.755050881759342,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-27,AI,9,9,253.3829693164815,0.14011815406341238,,,-1.3777790238875038,-0.3196384249890676,-1.0581405988984365,25.64817947191331,31.08362035026802,37.88690525723242,42.66293495669405,39.080834390459835,6,6,25.244029460193843,-0.007533366901593508,-0.0019920729471240343,-0.005541293954469473,Bearish,,,,-0.0034083741994097583,-1.0,35.27249488531353,11.02070842978546,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-28,AI,9,9,,0.1603890135639562,,,-1.3777790238875038,-0.5312665447687549,-0.846512479118749,23.765717273632433,28.96604207772784,35.95114438757033,40.90061095263433,37.43092712456029,6,6,36.90284096860036,-0.008500846591667777,-0.0032938276760327827,-0.005207018915634994,Bearish,,,,-0.0009674796900742688,-1.0,33.402888363225046,13.624627496908733,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-29,AI,9,9,,0.2318997017350507,,,-1.3777790238875038,-0.7005690405925048,-0.6772099832949992,29.508496949097523,31.165029184358108,37.15694693196376,41.995331181279,38.49720731701747,6,6,59.29696183345384,-0.0034574114338703776,-0.003326544427600302,-0.00013086700627007583,Bullish,,,,0.005043435157797399,1.0,35.66460231274317,19.579295378765977,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-30,AI,9,9,253.10566504346966,0.1479676946408827,,,-2.5385396979024097,-1.068163172054486,-1.4703765258479238,24.210045861001365,27.181032415381907,33.194464573347204,38.31061489140017,36.62357596631306,5,5,41.85973723520398,-0.006162032187451372,-0.0038936419795705156,-0.002268390207880856,Bearish,,,,-0.002704620753580994,-1.0,31.903946741488745,14.592337356185727,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-31,AI,9,9,264.612949666944,0.10889605429439687,,,-2.1266238234901698,-1.2798553023416228,-0.846768521148547,16.42173681495715,20.811813720645375,27.40682027814583,33.216045344959774,33.078051315398945,9,9,36.819440145353056,-0.011327640472883205,-0.005380441678233054,-0.005947198794650151,Bearish,,,,-0.005165608285431833,-1.0,26.186893494821412,12.361913803319887,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-01,AI,9,9,268.1593530681911,0.17200417016219904,,,-1.496758706703117,-1.3232359832139216,-0.17352272348919512,17.395118377084145,19.196965138213525,25.247526835072527,30.94571037245699,32.13982960577521,3,3,47.10638590507658,-0.01021141389825006,-0.006346636122236455,-0.0038647777760136056,Bullish,,,,0.0011162265746331446,1.0,24.98503006572048,14.71378985308338,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-02,AI,9,9,268.5503234680446,0.1369045900308068,,,-0.9550290396400286,-1.249594594499143,0.2945655548591145,14.36738642897029,14.699361605072479,20.689571036334918,26.906937065158655,29.394458201812718,1,1,43.19481418819661,-0.012020474525206964,-0.007481403802830557,-0.004539070722376407,Bearish,,,,-0.0018090606269569043,-1.0,21.211542867469813,13.048519275689504,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-03,AI,9,9,,0.1741916852481223,,,-0.9550290396400286,-1.1906814835273203,0.23565244388729162,16.697177482902372,14.795911033387895,19.90536335580581,25.893058871571277,28.279256345385175,1,1,47.799527303478975,-0.010326375118447667,-0.00805039806595398,-0.0022759770524936867,Bullish,,,,0.0016940994067592974,1.0,21.114153417810506,14.22765397693516,,sector,,publishable,full_universe,63,64,0.984375,DXY
